Ship Mode;First Class;;;Same Day;;;Second Class;;;Standard Class;;
Segment;Consumer;Corporate;Home Office;Consumer;Corporate;Home Office;Consumer;Corporate;Home Office;Consumer;Corporate;Home Office
Order Date;;;;;;;;;;;;
14-Mar-13;;;;;;;;;;;;91,056
16-Dec-13;;;;;;;129,44;;;;;
02-Jun-13;;;;;;;;;;605,47;;
21-Oct-13;;;;;;;;;;;788,86;
27-Aug-13;;;;;;;13,36;;;;;
28-Nov-13;;;;;;;;542,34;;;;
31-Mar-13;;;;;;;;;;;1,869;
21-Nov-13;;;;;;;;;;;865,5;
01-Nov-13;;;;;;;;;;;1044,44;
05-Apr-13;;;;;;;;4251,92;;;;
05-Jul-13;;242,546;;;;;;;;;;
15-Jan-13;149,95;;;;;;;;;;;
02-Dec-13;;;;;;;;;;;21,19;
19-Mar-13;;590,762;;;;;;;;;;
27-Jun-13;;;;;;;;;;616,14;;
06-Jan-13;;12,78;;;;;;;;;;
14-May-13;;;;;;;;;;;310,88;
12-Dec-13;;;;;;;;;;23,472;;
29-Apr-13;;;;;;;;;;;661,504;
24-Oct-13;;;;;;;;;;;;10,368
15-Aug-13;243,6;;;;;;;;;;;
13-Jan-13;;;;;;;545,94;;;;;
25-Apr-13;;;;;;;;;;302,376;;
18-Oct-13;;;;;;;;2216,8;;;;
21-Jan-13;;;;;;;25,248;;;;;
17-Aug-13;;;;;;;;;;;484,79;
05-May-13;;47,32;;;;;;;;;;
16-Dec-13;;;;;;;;;;;1,167;
24-Oct-13;;;;11,85;;;;;;;;
24-Dec-13;9,568;;;;;;;;;;;
11-Oct-13;;;;;;;;;;;16,23;
20-Aug-13;;;;;;;;;;;1417,35;
28-Sep-13;;;;;;;;;;337,088;;
11-Mar-13;;;;;;;;782,63;;;;
18-Oct-13;;;;;;;;;;;605,34;
06-Aug-13;;;;;;;62,91;;;;;
26-Jul-13;;;;;;;;;;256,48;;
04-Mar-13;;;;354,9;;;;;;;;
15-Nov-13;;;;;;;;;;362,176;;
14-Dec-13;;;;;;;;;;186,304;;
04-Mar-13;;;;;;;;;;15,552;;
01-Aug-13;;;;;;;;;;;202,896;
21-May-13;;;;;;;;;;;3333,9;
24-Aug-13;;;;;;;;25,5;;;;
02-Nov-13;;;;;;;;;;;;799,92
19-Dec-13;;;;;;;1979,89;;;;;
06-Nov-13;;;;;;;;;;43,68;;
04-Nov-13;;;;;;;;66,616;;;;
24-Nov-13;;;;;;;;;;;;111,15
02-Feb-13;;;;;;;;;;199,296;;
17-Dec-13;;;;;;;40,05;;;;;
07-Apr-13;8,96;;;;;;;;;;;
02-May-13;;;;;;;479,984;;;;;
27-Aug-13;;1812,01;;;;;;;;;;
28-Sep-13;;;;;;;;;;;106,944;
22-Nov-13;;9,96;;;;;;;;;;
19-Sep-13;;;;;;;;;;2692,329;;
22-Sep-13;;;;;;;4,608;;;;;
11-Feb-13;;;;;;;;;;1508,13;;
08-Sep-13;;;;;;;;;;254,97;;
07-Apr-13;;;;;;;;;;;752,92;
22-Nov-13;;;;;;;;;;;1022,61;
13-Dec-13;;;;;;;;12,39;;;;
19-May-13;34,2;;;;;;;;;;;
31-Mar-13;;;;1142,165;;;;;;;;
22-Aug-13;;;;;;;7,632;;;;;
01-Dec-13;;;;;;;;;;95,968;;
28-Jul-13;;;;193,152;;;;;;;;
06-Feb-13;;321,56;;;;;;;;;;
13-Oct-13;;;389,74;;;;;;;;;
09-Jun-13;;;;;;;1441,3;;;;;
05-Nov-13;;;;;;;;;;;;47,79
20-Dec-13;;;;;;;;;;732,312;;
21-Dec-13;;;;;;;;;;;;18,24
21-Apr-13;;;;;;;;;;;828,84;
20-Dec-13;;;2884,37;;;;;;;;;
05-Sep-13;31,984;;;;;;;;;;;
09-Oct-13;;;;;;;;;;;88,768;
05-Dec-13;;;;;;;;;;24,56;;
12-Sep-13;;;;;;;;;;;192,424;
04-Jul-13;;;;;;;;;;37,44;;
13-May-13;;;405,456;;;;;;;;;
30-Sep-13;;;;;;;;;;69,216;;
29-Apr-13;;;;;;;69,9;;;;;
08-Oct-13;;;;23,472;;;;;;;;
15-Oct-13;;;;;;;;;;15,384;;
22-May-13;;;;;;;;;;180,93;;
18-Mar-13;;;;;;;;;;;;23661,228
14-Sep-13;;;;;;;26,128;;;;;
03-Nov-13;;;;;;;;;;147,344;;
30-May-13;;;;;;;;;;;13,62;
27-Oct-13;;;;;;;;;;;;22,32
30-Nov-13;;;;;;;;;;;6,642;
10-Jan-13;;;;;;;;;;;54,83;
04-Apr-13;;;;;;;;;;;364,93;
15-Mar-13;;;;;;;;;;370,782;;
20-Sep-13;;;;;;;;;;;2,816;
22-Oct-13;;;;;;;;;;;129,92;
30-Jun-13;;;;310,688;;;;;;;;
02-Sep-13;;;;;;;;;;1793,98;;
01-Nov-13;;;;;;;;;;;75,16;
05-Jul-13;;;;;;;;;;;4,368;
